"site","grid","fish.clust.num9","visit","abundance","density","biomass","uniqueid"
"CC","01",1,"1",0,0,0,"CC_1"
"CC","01",1,"2",0,0,0,"CC_2"
"CC","01",1,"3",1,0.0443892045454546,6.88095420464585,"CC_3"
"CC","01",1,"4",1,0.0443892045454546,10.4644861948713,"CC_4"
"CC","01",1,"5",0,0,0,"CC_5"
"CC","01",1,"6",0,0,0,"CC_6"
"CC","01",2,"1",2,0.0887784090909091,22.9207741477273,"CC_1"
"CC","01",2,"2",0,0,0,"CC_2"
"CC","01",2,"3",0,0,0,"CC_3"
"CC","01",2,"4",1,0.0443892045454546,4.60157581676136,"CC_4"
"CC","01",2,"5",0,0,0,"CC_5"
"CC","01",2,"6",1,0.0443892045454546,3.16106622869318,"CC_6"
"CC","01",3,"1",1,0.0443892045454546,5.68690695485449,"CC_1"
"CC","01",3,"2",1,0.0443892045454546,3.30594846645467,"CC_2"
"CC","01",3,"3",0,0,0,"CC_3"
"CC","01",3,"4",2,0.0887784090909091,10.6573473449846,"CC_4"
"CC","01",3,"5",0,0,0,"CC_5"
"CC","01",3,"6",1,0.0443892045454546,12.5381969105114,"CC_6"
"CC","01",4,"1",1,0.0443892045454546,69.2131635720815,"CC_1"
"CC","01",4,"2",0,0,0,"CC_2"
"CC","01",4,"3",0,0,0,"CC_3"
"CC","01",4,"4",0,0,0,"CC_4"
"CC","01",4,"5",0,0,0,"CC_5"
"CC","01",4,"6",0,0,0,"CC_6"
"CC","01",5,"1",0,0,0,"CC_1"
"CC","01",5,"2",3,0.133167613636364,55.5304250271022,"CC_2"
"CC","01",5,"3",2,0.0887784090909091,7.02685786948951,"CC_3"
"CC","01",5,"4",2,0.0887784090909091,29.3817829063313,"CC_4"
"CC","01",5,"5",0,0,0,"CC_5"
"CC","01",5,"6",0,0,0,"CC_6"
"CC","01",6,"1",0,0,0,"CC_1"
"CC","01",6,"2",0,0,0,"CC_2"
"CC","01",6,"3",0,0,0,"CC_3"
"CC","01",6,"4",0,0,0,"CC_4"
"CC","01",6,"5",0,0,0,"CC_5"
"CC","01",6,"6",0,0,0,"CC_6"
"CC","01",7,"1",0,0,0,"CC_1"
