"site","grid","visit","abundance","density","biomass","Richness","shannon","raoQ","fric","feve","fdis"
"PR","01","1",3,0.140850360576923,8.88440099977795,5,0.636514168294813,0.113378684807256,0,0,0.317460317460317
"PR","02","1",5,0.271267361111111,48.8123612288087,8,1.6094379124341,0.177142857142857,0.132112310271485,0.901584525841931,0.418598144301617
"PR","03","1",4,0.217013888888889,17.0378249393384,6,1.03972077083992,0.0841836734693877,0.0200972478124026,0.732050807571385,0.279048894779939
"PR","04","1",4,0.187800480769231,95.3630177228525,6,1.03972077083992,0.118622448979592,0.0135917585533365,0.681084853164753,0.324915768177301
"PR","05","1",2,0.0707653985507246,23.460176933644,5,0.693147180559945,0.127551020408163,0,0,0.357142857142857
"PR","06","1",10,0.581287202380952,70.8139380585655,8,1.41848366194566,0.104489795918367,0.00357495588439221,0.594260031403926,0.315026156078114
"PR","07","1",1,0.0508626302083333,3.6875,4,0,0,0,0,0
"PR","08","1",4,0.221946022727273,26.4819983114214,5,0.562335144618808,0.0956632653061224,0,0,0.267857142857143
"PR","09","1",4,0.238185975609756,20.3713351153719,5,0.562335144618808,0.0612244897959184,0,0,0.214285714285714
"PR","10","1",28,1.66730182926829,171.534906327723,11,1.73751357322676,0.115264473136193,0.237516651616757,0.69962383212172,0.313605766436936
"PR","11","1",0,0,0,0,0,0,0,0,0
"PR","12","1",1,0.0478707107843137,5.17384614332984,4,0,0,0,0,0
"PR","13","1",5,0.290643601190476,28.7554200889145,7,1.33217904021012,0.0979591836734694,0.0137619359572328,0.891805812446934,0.301259865955947
"PR","14","1",1,0.04,4.18163077588369,4,0,0,0,0,0
"PR","15","1",1,0.0413797669491525,31.8065956959263,4,0,0,0,0,0
"PR","16","1",7,0.388405539772727,38.5235891729339,6,0.955699891112534,0.0799666805497709,0,0,0.279883381924198
"PR","17","1",1,0.0697544642857143,5.29450232988301,4,0,0,0,0,0
"PR","18","1",21,0.967349646226415,650.07894890794,5,0.314492201281411,0.0281364246378824,0,0,0.0984774862325882
"PR","19","1",2,0.0957414215686274,13.4054649936852,4,0,0,0,0,0
"PR","20","1",10,0.678168402777778,108.83007657122,11,1.97300140639361,0.142448979591837,0.155175796814439,0.740232500334421,0.361529089822261
"PR","21","1",13,0.721324573863636,110.873832364161,6,0.858740913006287,0.0512015457070402,0.00874332448881836,0.857142857135343,0.20752365917433
"PR","22","1",0,0,0,0,0,0,0,0,0
"PR","23","1",9,0.627790178571429,118.76767963712,9,1.73512645696292,0.111615016376921,0.037876144794136,0.5,0.332734538217503
"PR","24","1",1,0.0567768895348837,12.9730106507138,4,0,0,0,0,0
"PR","25","1",3,0.203450520833333,23.6196864157661,4,0,0,0,0,0
"PR","26","1",2,0.119092987804878,21.2543413593447,5,0.693147180559945,0,0,0,7.49497742406834e-09
"PR","27","1",7,0.42724609375,65.634488721023,6,0.796311640173813,0.0399833402748855,0,0,0.139941690962099
"PR","28","1",1,0.0581287202380952,5.24566481746499,4,0,0,0,0,0
"PR","29","1",4,0.263935810810811,51.8241103489257,6,1.03972077083992,0.0612244897959184,0,0,0.214285714285714
"PR","30","1",12,0.418526785714286,74.107318869997,8,1.09861228866811,0.0729875283446712,0.0119336897661297,0.466666666664934,0.23961376150917
"PR","31","1",4,0.238185975609756,123.00271934159,6,1.03972077083992,0.0446428571428571,0.00405041885802238,0.898979485568789,0.201203371813311
"PR","32","1",0,0,0,0,0,0,0,0,0
"PR","33","1",5,0.3814697265625,113.052435885032,7,1.33217904021012,0.111836734693878,0.0294316263168426,0.894836787173776,0.332323328627692
